,wid,price,designation,variety,region_1,region_2,province,country,winery,clean,cleaned,encoded
5159,5160,13.0,Reserve,Cabernet Sauvignon,,,Rapel Valley,Chile,Casa Viva,initial gaseous rubbery aromas subside  time   glass  remains minty  herbal   nose  olive eucalyptus  redfruit flavors carry  palate   firm solidfeeling minty  lightly green finish,initial gaseous rubbery herbal green,"0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0"
5160,5161,12.0,Reserva Estate Bottled,Sauvignon Blanc,,,Maule Valley,Chile,Chilensis,despite showing neutrality   bouquet   find modest salinic citrusy aromas  palate feels round  good  flavors  orange  briny lime  fleshy feeling citrusy tasting finish  nice even   isnt overly zesty drink now,modest salinic round fleshy zesty,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5161,5162,40.0,Diopside,Pinot Noir,Sta. Rita Hills,Central Coast,California,US,Coghlan,doesnt taste quite ripe    case   2010 pinots due   chilly season theres  minty green sharpness   raspberries  cherries nicely silky    ager  drink ,ripe due chilly green silky,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
5162,5163,12.0,Casa Grand Selection,Cabernet Sauvignon,,,Rapel Valley,Chile,Lapostolle,heavy baked aromas  black plum berry  rubber  dense  chunky   big grabby  tannic  feel  grapey flavors  blackberry  earthy tobacco  minty round soft finish  plump  grabby,heavy baked dense chunky big grabby tannic earthy soft,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0"
5163,5164,17.0,Coast Cool Climate,Pinot Noir,,,Casablanca Valley,Chile,Lomas del Valle,piercing sour raspberry aromas introduce  edgy scratchy feeling wine   combo  minty herbal pie cherry  red plum flavors  dries   finishes modestly  always  true pinot noir character,sour edgy scratchy combo herbal dry true,"0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
5164,5165,12.0,Sepia Reserva,Cabernet Sauvignon,,,Maipo Valley,Chile,Vistamar, cabernet opens   light whiff  green leafiness  cola berry  rhubarb notes appear  mouthfeel  lively  crisp   shot  acidity   midpalate sticking  slightly tart flavors  berry  cassis  spicy  herbal   finish  quick,green crisp tart herbal,"0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0"
5165,5166,24.0,Hacienda Araucano Clos de Lolol,Red Blend,,,Lolol Valley,Chile,François Lurton, scratchy fiery opening  juniper cheesy leather  berry fruit aromas settles  airing   tannic   bag  rocks  toasty herbal darkfruit flavors throughout  feels abrasive hard  blocky   finish  spice  chocolate flavors roughened  hard residual tannins,fiery tannic herbal abrasive hard hard residual,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0"
5166,5167,22.0,Tradition,Bordeaux-style Red Blend,Blaye Côtes de Bordeaux,,Bordeaux,France,Château Sainte-Luce Bellevue, wine  bruno martins 33acre vineyard  going    fresh  fruity already    fine juicy character  plenty  red fruits crisp acidity   end confirms  bright character,juicy red crisp bright,"0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0"
5167,5168,31.0,Tracy Hills,Barbera,Livermore Valley,Central Coast,California,US,Dante Robere,peppery  beefy  aroma  wine  heavy   savory components  rather lean  fruit flavors,heavy,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5168,5169,12.0,Almodí Petit,Red Blend,Terra Alta,,Catalonia,Spain,Altavins,jumpy cherry  berry aromas  basic  fruity fresh palate delivers straightforward berry flavors prior   quick finish,basic straightforward quick,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5169,5170,20.0,Garnacha by Artazu,Rosé,Navarra,,Northern Spain,Spain,Artadi,aromas  yeast grape skins  dust  less  compelling   offputting    highacid shearing type  rosé tasting citrusy   bit sour  mild orange flavor  found   crisp racy finish,highacid sour mild crisp,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5170,5171,10.0,Garnacha,Rosé,Cariñena,,Northern Spain,Spain,Bodegas Paniza,lightly briny aromas  citrus set   tight grabby palate  wine   touch sour  pithy  cantaloupe notes  pithy tangy finish  dry  basic,briny sour pithy pithy dry basic,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5171,5172,47.0,Cle Brut Metodo Classico,Sparkling Blend,Trento,,Northeastern Italy,Italy,Albino Armani,made  chardonnay  pinot nero    shy nose  eventually reveals medicinal herb  toasted bread crust  rather lean bitter palate offers walnut yellow apple skin   hint suggestive  adhesive bandage alongside firm acidity  sharp brisk bubbles,shy medicinal bitter yellow suggestive adhesive sharp brisk,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5172,5173,14.0,Premium,Bordeaux-style Red Blend,Cadillac Côtes de Bordeaux,,Bordeaux,France,Maison Hebrard,   dry wine although  fruit  show potential   concentrated  firm tannins foremost drink  2019,dry potential,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5173,5174,24.0,"Estate Grown, Produced and Bottled",Viognier,Sierra Foothills,Sierra Foothills,California,US,Naggiar,earthy savory seaside flavors dominate  mild fruit component   richfeeling  lighttasting wine,earthy savory mild,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
5174,5175,43.0,Talento Brut Rosé,Sparkling Blend,Vino Spumante,,Italy Other,Italy,Peri Bigogno,medicinal herb  lime lead  nose  carry    lean palate along  bitter walnut  yellow apple skin  dominated  brisk acidity,medicinal lean bitter yellow brisk,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5175,5176,45.0,Estate,Chardonnay,Napa Valley,Napa,California,US,Kuleto Estate, 100 estategrown fruit  lemony wine  tart   palate  also offering  strong taste  cinnamon akin  red hots  heat lingers atop  mediumbodied experience imprinted  toasted oak,strong mediumbodied,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5176,5177,25.0,Sanguinetti Vineyard,Sangiovese,Lodi,Central Valley,California,US,Martin Lane Winery, wine  unusual   smoky earthy petrol character thats easy  catch   aroma   lasts   finish,unusual smoky earthy easy last,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
5177,5178,20.0,Hacienda de ArínzanoRosé,Tempranillo,Pago de Arínzano,,Northern Spain,Spain,Arínzano,mild citrus  stonefruit aromas include  note  crushed vitamin  brightpink rosé  wide  citric   palate  mild nectarine  whitegrape flavors   finish   round  feel without much flavor,mild citrus wide mild much,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5178,5179,13.0,Agostón,Tempranillo-Cabernet Sauvignon,Cariñena,,Northern Spain,Spain,Bodegas Paniza,aromas  berry fruit wet cement  chewing gum struggle  make  case  feels sticky  confected  flavors  candied berry mint  spicy oak finish  herbal notes  sweetness,wet sticky herbal,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
5179,5180,20.0,Somdinou,Red Blend,Terra Alta,,Catalonia,Spain,Celler Cooperatiu de Gandesa, blend  carignan garnacha   red grapes opens  stewy herbal slightly weedy plum aromas  sticky sinewy mouthfeel   clumsy  agile  flavors convey stewed berry fruits  prune low acidity throughout especially   finish   bit compromising,red herbal weedy sticky clumsy agile low,"0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0"
5180,5181,18.0,Cuvée Design,Bordeaux-style Red Blend,Bordeaux Supérieur,,Bordeaux,France,Château la Mothe du Barry,strawberry fruit flavors dominate  soft wine   unfocussed  misses   clarity  shape,soft unfocussed,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5181,5182,15.0,Finca Resalso,Tempranillo,Ribera del Duero,,Northern Spain,Spain,Emilio Moro,raw gamy aromas  herbal black fruits  wet dog fur set   bumpy palate thats tough  jagged unabsorbed oak sits atop rudimentary berry fruit flavors   finish  choppy oaky  herbal,raw herbal black wet tough jagged unabsorbed rudimentary choppy oaky,"1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
5182,5183,35.0,Walter Clore Private Reserve,Bordeaux-style Red Blend,Columbia Valley (WA),Columbia Valley,Washington,US,Columbia Crest,merlot 80    lead   blend   rest rounded   cabernet sauvignon cabernet franc  malbec cocoa dark raspberry vanilla  toast aromas lead  supple fruit  barrel flavors backed  grainy tannins  need  time   cellar  smooth ,merlot dark supple cellar,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
5183,5184,25.0,Estate Grown,Chardonnay,Carneros,Napa-Sonoma,California,US,Cuvaison,crisp yet fuller bodied   creamy voluptuousness   mouthfeel  wine offers  taste  lemon pith  peach accented   floral bouquet  orange blossom measured acidity keeps  ebullient   glass ending   hit  tahitian vanilla,crisp full creamy floral ebullient tahitian,"0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
5184,5185,34.0,Klipsun Vineyard,Merlot,Red Mountain,Columbia Valley,Washington,US,Full Pull & Friends,theres  whole lot  appeal   wine  aromas  dark raspberries  barrel spices leading  rich fullbodied fruit flavors   velvety texture   shamelessly appealing example   variety,whole rich,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5185,5186,75.0,Gap's Crown Vineyard Clone 667 Three Barrel Selection,Pinot Noir,Sonoma Coast,Sonoma,California,US,Gary Farrell,  another   producers intellectual exercises  experimental winemaking made  tiny caseproduction numbers  offers  much  think    lemonycrisp  tangy palate   chalky tannins full bodied  merits attention veering  herbal  chocolaty  one sip,intellectual experimental tiny much lemonycrisp tangy chalky full bodied herbal,"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0"
5186,5187,35.0,Big Sissy,Chardonnay,Columbia Valley (WA),Columbia Valley,Washington,US,Gorman,fermented  aged  new french oak  wine shows pleasing pear  apple aromas along  toast  baking spices  mediumbodied flavors show refinement depth  balance,aged french pleasing pear,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5187,5188,65.0,Joie de Vivre,Red Blend,Napa Valley,Napa,California,US,Jeff Gordon, blend  80 cabernet sauvignon  napa valley 10 cabernet  sonoma countys monte rosso vineyard  10 petit verdot  napa  wine reflects  cool vintage  offers herb cedar  peppercorn   nose along  plenty  acidity  structure  fruit tends red  cassis  cranberry finishing juicy,napa cool vintage peppercorn plenty red juicy,"0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0"
5188,5189,19.0,Tradition,Gewürztraminer,Alsace,,Alsace,France,Kuentz-Bas,zestiness amid  rounded apricot  rosepetal flavors marks     pleasant eversoslightly bitter phenolic edge gives just  little bite  aromatics  subtly expressed   real action happens   textured palate,pleasant bitter phenolic real,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5189,5190,35.0,Grand Detour,Pinot Noir,Sonoma Coast,Sonoma,California,US,Landmark,  mix  vineyards within  vast sonoma coast  wine offers dark color tannic proportions sizable oak   touch  black pepper  anise bringing  rich bold fullbodied flavor concentrated  dense  wild strawberry compote  finishes  dried herb,vast dark tannic sizable black rich bold dense wild,"1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0"
5190,5191,30.0,NOS Riserva,Teroldego,Teroldego Rotaliano,,Northeastern Italy,Italy,Mezzacorona,dark  dense  opens  earthy aromas  underbrush scorched earth smoke  ripe blackskinned fruit  firm palate offers ripe plum blackberry black cherry black pepper  anise alongside velvety tannins,dark dense earthy ripe ripe black black,"1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0"
5191,5192,15.0,Dry Száraz,Furmint,,,Tokaj,Hungary,Patricius,enticing aromas  pear  white peach set  stage  flavors  peach nectar  slightly tart white plum  wine  full   mouth   bright citrus note   finish,white full bright,"0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1"
5192,5193,20.0,Tributo Single Vineyard,Cabernet Sauvignon,,,Colchagua Valley,Chile,Caliterra,briary herbal berry aromas  dry earthy foresty  show  note  olive  cab  full  life   palate  energy  good overall balance spicy flavors  baked plum olive herbs  tobacco finish long  amplified oak drink now  2018,herbal earthy foresty full overall spicy,"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0"
5193,5194,16.0,Cold Creek Vineyard,Riesling,Columbia Valley (WA),Columbia Valley,Washington,US,Chateau Ste. Michelle,honeysuckle mineral honey  botrytis aromas lead  way  drinks  dry  exceptionally wellbalanced acidity  carries   lingering finish,dry wellbalanced,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5194,5195,40.0,Ice Wine White Bluffs Vineyards,Riesling,Columbia Valley (WA),Columbia Valley,Washington,US,Claar,pear  white flower aromas  light   palate  full  sweet brown sugar  honey flavors  persist   finish  sweet  well balanced  ample acidity   clean finish,white full sweet brown sweet ample,"0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1"
5195,5196,12.0,Grand Estates,Cabernet Sauvignon,Columbia Valley (WA),Columbia Valley,Washington,US,Columbia Crest,cocoa plum  vanilla aromas  followed  creamyfeeling bluefruit flavors  display  mixture  fruit  barrel  barrel influence  heavy   delicious   ,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5196,5197,26.0,Reserve Estate Grown,Chardonnay,Horse Heaven Hills,Columbia Valley,Washington,US,Columbia Crest, wine  aged 15 months sur lee  allnew french oak  barrel aromas  flavors    lead  notes  vanilla butterscotch  spice followed  pear  creamy  feel    elegant styling,aged pear creamy elegant,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
5197,5198,58.0,Flamboyant,Red Blend,,,Dealu Mare,Romania,Davino,made  83 cabernet sauvignon  12 merlot accompanied  5   indigenous variety feteasca neagra  wine offers  fruitheavy bouquet  black cherry  damson plum dark plum  height  summer cherry flavors continue   palate aided   refined note  graphite  fine network  velvety tannins retreat   splash  brightness makes  appearance   finish,indigenous refined,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5198,5199,38.0,Hendry Vineyard,Bordeaux-style Red Blend,Napa Valley,Napa,California,US,Hendry,nearly equal parts malbec  cabernet sauvignon  blend also features good handfuls  petit verdot merlot  cabernet franc  offer soft velvety flavors  blackberry  blueberry lightly oaked  tannins  grippy   wine generates  herbal undertone   nose,equal handful petit soft herbal,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
5199,5200,33.0,Edición Limitada,Syrah,,,Cachapoal Valley,Chile,Lagar de Bezana,dense smoky aromas  welltoasted oak  lactic  impact  blackberry  cassis scents  support   woody resiny  tannic   palate  makes  rough now  bodes well    line charred toasty oak  herbal blackberry flavors finish minty   speck  creosote drink  2020,dense smoky lactic resiny tannic rough well herbal,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0"
5200,5201,125.0,Generations,Cabernet Sauvignon,Napa Valley,Napa,California,US,Raymond, blend  97 cabernet sauvignon  8 petit verdot  wine speaks  power offering juicy velvety texture around brawny components  leather coffee  black plum concentrated  intense  needs time  open   glass  pairing  thick cuts  meat,juicy brawny black intense thick,"1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
5201,5202,17.0,Charlotte's Home Estate Vineyards,Sauvignon Blanc,Northern Sonoma,Sonoma,California,US,Rodney Strong,pineapple appears first   nose  palate followed  hightoned acidity   backup  lemon  lime medium bodied  wine remains light  crisp throughout finishing   swirl  lemon zest  grapefruit pith,first hightoned bodied light crisp,"0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
5202,5203,24.0,Cote de Madonne Blanc,Rhône-style White Blend,Santa Clara Valley,Central Coast,California,US,Sarah's Vineyard, blend  roussanne viognier marsanne  grenache blanc   serious line  minerality apparent   nose  well  pear blossom pineappleguava skin   dairy tang  palate clings  meyer lemon pith  greek yogurt flavors,serious apparent pear,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5203,5204,23.0,High Elevation Collection,Zinfandel,Lake County,,California,US,Shannon Ridge,aromas like spiced apple  brown sugar lead  luscious fruit  spice flavors   plush texture   mediumbodied wine    richness  nearsweetness  can pair well  slowly cooked meats  mildly spicy dishes  sips well     well,spiced brown luscious spicy,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5204,5205,49.0,Impératrice,Bordeaux-style Red Blend,Columbia Valley (WA),Columbia Valley,Washington,US,William Grassie,though labeled   red blend  94     varietally labeled merlot   drinks like  aromas  cocoa raspberry  spice box  followed  plump soft chocolate  raspberry flavors accented  tart acids  hold  balance   finish,red plump soft tart,"0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
5205,5206,15.0,Louis Mel,Sauvignon Blanc,San Francisco Bay-Livermore Valley,Central Coast,California,US,Wente,flinty minerallike aromas  flavors lend  complex personality   compelling mediumbodied wine  palate  crisp dry  citrusdriven inviting another sip  begging   freshshucked oysters,complex dry,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5206,5207,18.0,I Nani e le Ballerine,Sauvignon,Colli Piacentini,,Central Italy,Italy,Luretta,made  organicallyfarmed fruit heres  warm climate sauvignon  name translates   dwarfs   ballerinas  shows heavy aromas  honeysuckle exotic fruit candied apricot  lemon curd theres  waxy texture   mouth followed   yellowfruit flavors,warm heavy exotic,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5207,5208,30.0,El Rincón,Syrah-Grenache,Vinos de Madrid,,Central Spain,Spain,Marques de Griñon,  dark purple hue  rubbery horsy aromas  black fruit leather dried beef  coffee  fullbodied blend  95 syrah  5 garnacha delivers plump chewy flavors  dark plum  ripe blackberry theres also  lot  animal earth  leather   rustic finish,dark purple black plump dark ripe rustic,"1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
5208,5209,15.0,Old Head,Chardonnay,Dunnigan Hills,Central Valley,California,US,Matchbook, great value chardonnay full  big green apple flavor thats wellmade   overly complicated   texture  just enough heft   midweek  lemony chicken,full big green complicated enough heft midweek,"0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0"
5209,5210,17.0,San Lorenzo,Montepulciano,Rosso Conero,,Central Italy,Italy,Umani Ronchi,san lorenzo opens  bright cherry fruit  blueberry  subtle background notes  almond paste  dried tobacco overall  clean  fresh red wine  pair  roast chicken  turkey,subtle almond overall red,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
5210,5211,13.0,Aliwen Reserva,Cabernet Sauvignon-Carmenère,,,Rapel Valley,Chile,Undurraga, opens hard  crusty   airing  softens  chocolate plastic creamy oak  spice aromas emerge  palate  compact  fairly full bodied  herbal roasted leathery tasting berry flavors  end  savory oaky notes overall    good blend  cabernet  carmenère,hard crusty creamy compact full bodied herbal roasted savory overall,"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0"
5211,5212,30.0,Estate,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Willamette Valley Vineyards, wine  mediumbodied  slightly briny flavors  cherry earth  herb  balanced  holds interest   clear emphasis   herbal aspect  oregon pinot noir,clear herbal,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
5212,5213,17.0,Obere Wies,Sauvignon Blanc,,,Burgenland,Austria,Nittnaus Hans und Christine,ripe tropical fruit sauvignon blanc  vines close   neusiedlersee lake  wine  peach  pineapple flavors   counterbalance    herbal grassy back taste     young   need    months  bottle screwcap,ripe tropical close herbal,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
5213,5214,42.0,Else's Reserve,Cabernet Sauvignon,Lake County,,California,US,Six Sigma Ranch,   austere leathery cabernet  smooth tannins   take time  move beyond   earthy herbal components  share  blackberry fruit pair   steak   meantime preferably   blackberry reduction sauce  might coax     wines flavor,austere smooth earthy herbal blackberry,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0"
5214,5215,35.0,KARIA,Chardonnay,Napa Valley,Napa,California,US,Stag's Leap Wine Cellars, bigproduction wine  stags leap hits   popular chardonnay buttons  soft  sweet  orange  pineapple jam buttercream vanilla  toast flavors brightened  crisp acidity  grapes come   cooler southern parts   valley,popular soft sweet crisp cooler southern,"0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5215,5216,40.0,Estate Grown,Syrah,Carneros,Napa-Sonoma,California,US,Broadway Vineyards,give  syrah   hours  decanting  drink  now  dry full bodied  dense  blackberry blueberry bacon pepper  oak flavors shows real elegance  class    ager,dry full bodied dense real,"0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0"
5216,5217,15.0,Syranto,Syrah,Lazio,,Central Italy,Italy,Cantine Lupo, winemaking efforts  lazio  region  houses  italian capital rome  slowly  noticed thanks   admittedly small group  qualityminded producers  syrah shows ripe fruit  soft roundness  elements  prune coffee  cherry liqueur,winemaking italian small ripe soft,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5217,5218,12.0,Reserva,Chardonnay,,,Casablanca Valley,Chile,Casas del Bosque,  chardonnay  tropical  sweet   whole  also  honest reflection  casablanca aromas  honeyed apple toast  peach  friendly   palate feels round  resiny  solid core acidity apple sweet melon honey  toast flavors precede  finish  oak rises   vies  residual tropical notes,tropical sweet whole honest friendly resiny solid sweet residual tropical,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5218,5219,40.0,La Réserve,Rhône-style Red Blend,Coteaux d'Aix-en-Provence,,Provence,France,Château de Calavon,spicy minty woodaged wine  shows  wood  fruit     rich character  black plum  berry flavors   wine  become better integrated  wait  23 years,spicy rich,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5219,5220,23.0,La Mascaronne,Rhône-style Red Blend,Côtes de Provence,,Provence,France,Château la Mascaronne,rich  dense    ripe woodaged wine now showing maturity   weight red berry fruits   firmer structure  tannins   ready  drink   age another year,rich dense ripe woodaged firm,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
5220,5221,,L'Enclose de Ramage,Bordeaux-style Red Blend,Haut-Médoc,,Bordeaux,France,Château Ramage la Batisse, second wine  château ramage la batisse lenclos  ripe  fruity    sense  structure although   played    rich black currant fruits acidity cuts   general richness   mediumaging wine,second ripe rich black general,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5221,5222,18.0,Le Château,Rosé,Côtes de Provence,,Provence,France,Château Thuerry,light  fruity   touch  pepper  spice    immediately attractive redfruited wine   enough crisp freshness  well  richness  go  food  aftertaste emphasizes  spice  fruit,light enough crisp richness,"0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
5222,5223,17.0,Serie Riberas Gran Reserva Ribera del Tinguiririca Marchigue,Malbec,,,Chile,Chile,Concha y Toro,herb  olive aromas give  malbec  slightly green nose theres  lot  body  acid   hits  palate along  flavors  herbal berry mint  pepper   sturdy fully oaked  minty   finish,green sturdy oaked,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
5223,5224,,Terrunyo Costa Los Boldos Vineyard Block 6,Riesling,,,Casablanca Valley,Chile,Concha y Toro, firsttime riesling  cyt delivers petroldiesel aromas along  mild apple  peach scents   amounts   true varietal nose  palate   punchlike juicy feel thats fresh  light  tropical flavors  lychee  mango end juicy   weight,mild true varietal juicy light tropical juicy,"0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0"
5224,5225,35.0,Galena,Red Blend,Priorat,,Catalonia,Spain,Domini de la Cartoixa,leather  herbal berry fruit aromas come   horsey stalky side  palate  solid  hard  herbal stemmy flavors  licorice baked berry  chocolate  finish  chocolaty  slightly bitter   leftover green note,horsey stalky solid hard herbal bitter green,"0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0"
5225,5226,20.0,Weissenberg,Riesling,,,Mosel,Germany,Von Schleinitz,dusty mineral  wet stones lend savory accents  freshly pressed apple  pear flavors   lively offdry riesling lemony acidity feels punchy  spry   palate leading  refreshingly crisp finish drink now  2017,offdry punchy crisp,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5226,5227,12.0,The Y Series,Cabernet Sauvignon,South Australia,,South Australia,Australia,Yalumba, isnt  biggest baddest cabernet instead     charmerlithe  crisp cherries  dried herbs   nose add hints  earth  pepper   palate  finish   gentle wash  dusty tannins drink now2018,big badd crisp gentle dusty,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5227,5228,32.0,Block II & Langley,Riesling,Old Mission Peninsula,,Michigan,US,Bowers Harbor,  nose  focused  delicate lemon apple  talc aromas  juicy palate brings peach  crunchy red appleskin flavors  dry  style  vibrant acidity    wellbalanced offering   northern michigan producer,delicate juicy crunchy dry vibrant northern,"0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
5228,5229,22.0,Vial,Pinot Bianco,Alto Adige,,Northeastern Italy,Italy,Caldaro,crushed rock orchard fruit   dash  oak emerge   linear white   palate crisp acidity supports anjou pear yellow apple  almond   mineral note backs   finish,crisp yellow,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5229,5230,22.0,Titular,Encruzado,,,Dão,Portugal,Caminhos Cruzados, dãos great white grape  produced  deliciously perfumed wine   fresh  pink grapefruit  crisp apples   filled   spice  toast   wood aging   tight  mineral  texture   benefit     months  drinking wait  late 2016,pink crisp,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5230,5231,12.0,Vinha do Putto,Portuguese Red,,,Bairrada,Portugal,Campolargo, wine   fruit fresh red berries  refreshing acidity  tannins  soft rounded  generous just supporting  fruitiness  wine  ready  drink now,refreshing soft rounded generous,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5231,5232,22.0,Aristos,Kerner,Alto Adige,,Northeastern Italy,Italy,Cantina Valle Isarco,strong scents  yellow stone fruit grapefruit   touch  light baking spice open   nose  fullbodied palate shows apricot yellow peach mineral   hint  nutmeg alongside lively acidity  leaves  tangy finish,strong yellow light,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
5232,5233,23.0,Rüdesheim Pinot Sekt,Pinot Noir,,,Rheingau,Germany,Carl Ehrhard, whisper  caramelized sugar glazes crisp berries  plums   finely moussed sparkling pinot noir  elegantly structured balancing striking cranberry acidity   palate thats fruity fresh  mineral,crisp pinot structured cranberry,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5233,5234,20.0,Art Terra,Portuguese Red,,,Alentejano,Portugal,Casa Agricola Alexandre Relvas,produced  organically grown grapes    young fruity wine    produced   drunk young light tannins  pure black currant flavors give  wine plenty  freshness  acidity  wine  rich  ready  drink,drunk pure black plenty rich,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5234,5235,12.0,Herdade da Pimenta Pimenta Preta,Portuguese Red,,,Alentejano,Portugal,Casa Agricola Alexandre Relvas, young  fruity wine   already balanced   tannins give  structure   forward blackberry fruits  acidity   juicy fullbodied wine  alicante bouschet   blend giving  richness  also  structure  wine  ready  drink,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
