,wid,points,title,description,taster_name,taster_twitter_handle
5278,5279,90,Willamette Valley Vineyards 2006 Estate Vineyard Pinot Noir (Willamette Valley),"The Estate Vineyard bottling shows a definite meaty, almost Rhone-like aroma, but this is no Syrah. It's a very elegant, light, sultry bottle of Pinot Noir. The tart black cherry and currant fruit is shadowed by smoke and cinnamon, but the balance throughout is light and delicate.",Paul Gregutt,@paulgwine 
5279,5280,89,Chatter Creek 2005 Clifton Hill Vineyard Syrah (Wahluke Slope),"Clifton Hill Syrah looks and smells the way you'd hope it would, black in the center, purple/garnet at the edges, peppery and loaded with sweet grapey fruit. Viognier skins—not juice—added to the fermenter elevate the aromas with floral and citrus accents. It's juicy and fairly light in flavor, but clean and very fresh, with no new oak.",Paul Gregutt,@paulgwine 
5280,5281,89,Clos Saint-Joseph 2004 Villars-sur-Var Red (Côtes de Provence),"This is an unusually elegant wine for Provence, from a tiny, isolated vineyard in the maritime Alps. It's a blend of Grenache, Syrah and Mourvèdre, that's gently extracted, crimson in color and filled with intricate, delicate fragrances and flavors, ranging from violets and a hint of iodine to red cherries and maybe even a touch of apricot. Drink now and over the next few years.",Joe Czerwinski,@JoeCz
5281,5282,89,Cortes de Cima 2005 Incógnito Red (Alentejano),"A wine that has become something of a cult in Portugal, perhaps because of its mystery name (referring to a time when Syrah was not permitted in Portugal). This 2005 keeps the open, ripe blackberry jam fruit, with dark chocolate and herbal flavors. It has a generous, earthy character.",Roger Voss,@vossroger
5282,5283,89,Domaine Sorin 2007 Terra Amata Rosé (Côtes de Provence),"More complex and richly textured than most Provençal rosés, this wine is a treat, from its mineral-laden, smoky aromas to its ripe cherry-berry flavors and layered finish. Drink now, although it has enough stuffing to suggest it might last longer than just a single summer.",Joe Czerwinski,@JoeCz
5283,5284,89,Dona Maria 2004 Amantis Red (Alentejano),"This rare blend of Cabernet, Syrah, Petit Verdot and Touriga Nacional works surprisingly well, emphasizing tannic structure rather than fruit. The acidity of the Cab is what keeps it from being heavy, while the dense color and herbal flavors show its southern warmth and richness. Dried plums and fresh acidity to finish.",Roger Voss,@vossroger
5284,5285,89,Elyse 2005 Naggiar Vineyard C'est si Bon Red (Sierra Foothills),"Napa-based Elyse is better known for their Cabernet Sauvignon, but they have reached into Nevada County, in the Sierra Foothills, for this lovely Rhône-style blend. It's soft in acidity and the tannins are melted, as you might expect from a warm-to-hot region. But the flavors are plush in jammy cherries, black raspberries, chocolate and crushed black pepper.",Anonymous,
5285,5286,89,Brandborg 2006 Ferris Wheel Vineyard Estate Pinot Noir (Umpqua Valley),"As with the other Pinots from Brandborg, this estate bottling puts the spices front and center, and matches the intensity of the fruit and barrels appropriately. This is seductive and elegant with a feminine grace. The spicy plum and red currant flavors carry some tasty barrel notes of clove and cinnamon, and the wine has a bit more intensity than its stablemates.",Paul Gregutt,@paulgwine 
5286,5287,89,Casa de Santar 2006 Reserva White (Dão),"Ripe, soft wine that has good dense fruit flavors as well as richness. There is some new wood, but the wine remains elusive, perhaps still young. On the palate, the wood spice is still dominant, with only the acidity hinting at the fruit.",Roger Voss,@vossroger
5287,5288,89,Pali 2006 Momtazi Vineyard Pinot Noir (Willamette Valley),"This is interesting—a California take on Oregon Pinot Noir. It's sleek and spicy, with a racy spine and a very tart, dry mouthfeel. The fruit is peppery and hard; like hard candy with an herbal streak. The wine hides its almost 15% alcohol quite well, but it will reward ample breathing time.",Paul Gregutt,@paulgwine 
5288,5289,88,Raphael Dal Bo NV Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),White spring flower and white peach aromas jump out of the glass and follow through to the vibrant palate along with crisp green apple. A soft mousse lends finesse.,Kerin O’Keefe,@kerinokeefe
5289,5290,88,Rideau 2014 Estate Rosé (Santa Ynez Valley),"Lightly mauve in color, this rosé blend of 51% Syrah, 21% Grenache and 28% Mourvèdre shows ripe watermelon, bubblegum and strawberry on the juicy nose. The palate is quite restrained for such a ripe nose and deep color, but ripe plums emerge alongside graphite minerality and a pithy grip.",Matt Kettmann,@mattkettmann
5290,5291,88,Santa Ema 2013 Amplus Cabernet Sauvignon (Maipo Valley),"Plum and raspberry aromas are herbal and slightly grassy. On the tongue, wiry acidity feels citric. Flavors of red plum, spiced cherry, tomato and herbs ride a road of choppy acidity and rough tannins to a bold finish. Drink through 2020.",Michael Schachner,@wineschach
5291,5292,88,Santa Ema 2013 Amplus Old Vine Carignan (Maule Valley),"This dark, muscular Carignan smells cool and earthy, with a heavy dose of unintegrated oak creating woodgrain and vanilla aromas. This feels full but shows structural gaps, while blackberry, clove and resiny, grainy flavors finish with tannic hardness and lasting woody flavors.",Michael Schachner,@wineschach
5292,5293,88,Sierra Starr 2012 Inertia Red (Sierra Foothills),Dark fruit aromas and flavors join with a generous texture and full body to make a complete and satisfying wine. This has just enough tannin to make it appetizing and well balanced.,Jim Gordon,@gordone_cellars
5293,5294,88,Tolosa 2013 Clonal Select Pinot Noir (Edna Valley),"This blended study of 2A, 115, 667 and Pommard clones shows black pepper, red cherry, pressed purple flowers, eucalyptus and a touch of hot asphalt on the nose. The lean and light palate conveys lots of dried herbs and raspberry-cranberry juice, enlivening the tongue with sourness.",Matt Kettmann,@mattkettmann
5294,5295,88,Vignerons de Bel Air 2014 Grande QV  (Coteaux Bourguignons),"Made from selected parcels of Gamay, this structured wine offers both fruit and fresh acidity. It has a dry core, giving a solid wine with some aging potential. Aromatic and fresh red fruits complete a wine that will be better from 2016.",Roger Voss,@vossroger
5295,5296,88,Vino z Czech 2013 Michlovský Riesling (Moravia),"This dry Riesling offers rich floral aromas of lilies and freesia. Soft floral notes continue on the palate, where they are joined by stronger flavors of citrus, honey and roasted hazelnut.",Jeff Jenssen,@worldwineguys
5296,5297,88,Valle Hermoso 2013 Elegido Gran Reserva Cabernet Sauvignon (Colchagua Valley),"Direct, woody aromas of cherry, raspberry and minerally crispness set up a medium-bodied palate housing round tannins. Ripe, loamy flavors of mixed berries exhibit a touch of raisin, which carries over to a peppery, blackened finish.",Michael Schachner,@wineschach
5297,5298,88,Ventosa NV Saggio Series X Red (Seneca Lake),"Four years in a mix of French, American and Hungarian oak lend a prominent spice and tobacco savoriness to this full-bodied red. A blend of traditional Bordeaux grapes with a splash of Syrah, it's densely berried and luscious in texture, but maintains elegant composure. The finish is long, marked by penetrating,fine-grained tannins.",Anna Lee C. Iijima,
5298,5299,88,Vino z Czech 2009 Ludwig Cabernet Moravia (Moravia),"Made with 100% Cabernet Moravia (an indigenous crossing of Cabernet Franc and Zweigelt) this wine has an interesting bouquet of ripe red fruits marked by eucalyptus and a heavy vegetal note. Fruit flavors, especially dark plum, shine through on the palate, while greener herbal notes make their presence known on the invigorating finish.",Jeff Jenssen,@worldwineguys
5299,5300,88,Vino z Czech 2013 Znovín Znojmo St. Laurent (Moravia),"On the nose, spice outweighs fruit, with notes of clove and cinnamon backed by a touch of cherry. On the palate, the tables are turned, with black plum and cherry flavors playing host to a soft touch of baking spice that is most evident on the soft finish.",Jeff Jenssen,@worldwineguys
5300,5301,88,Weather 2012 Reserve Pinot Noir (Russian River Valley),"Earthy mushroom and forest floor rise from the opening bouquet of this reserve-level wine that expresses itself in dense, full-bodied layers of dark, bittersweet cherry. Concentrated and robust, it finishes savory and mouthwateringly fleshy.",Virginie Boone,@vboone
5301,5302,88,Willm 2014 Réserve Gewurztraminer (Alsace),"Notes of candied mandarins steal their way into this fresh, fruity and blossom-scented wine—think apricot, tangerine and jasmine. The charm is easy here, and all is held on the fruity, perfumed side. This is playful, fruit-driven fun.",Anne Krebiehl MW,@AnneInVino
5302,5303,88,Nardello 2013 Vigna Turbian  (Soave Classico),"Aromas of acacia flower, fresh stone fruit and nut all come together in the glass. The juicy palate offers up white peach, green apple and a citrus note while crisp acidity provides support. Mineral and white almond notes delineate the finish.",Kerin O’Keefe,@kerinokeefe
5303,5304,88,Sobon Estate 2012 Rocky Top Zinfandel (Amador County),"Let's call it a highly stylized but nonetheless attractive wine. A sweet, spicy oak character floods the taste impressions, the body is full, and the texture firm but smooth. Enticing notes of orange zest, cinnamon and vanilla—almost sweet—dominate the smells and flavors.",Jim Gordon,@gordone_cellars
5304,5305,88,Millbrook 2013 Proprietor's Special Reserve Pinot Noir (New York),"Touches of balsamic vinegar, violet and wet granite lend complexity to this crisp, elegant Pinot Noir. Black cherry and plum flavors are penetrating and pristine, finishing with a fringe of dusty tannins.",Anna Lee C. Iijima,
5305,5306,88,Alto Los Romeros 2013 Gran Reserva Triumpheros Merlot (Colchagua Valley),"Toasty, roasted aromas of earthy plum and berry fruits set up a full-bodied but friendly palate of soft tannins. Dark, oaky, minty flavors of black fruits finish with peppery spice, good length and some heat.",Michael Schachner,@wineschach
5306,5307,88,Beaulieu Vineyard 2012 Maestro Collection Merlot (Carneros-Napa Valley),"From the cooler climes of Carneros, long a good match for the variety, this wine offers sanguine notes of cranberry on the nose, before developing a soft, flavorful core of dusty cinnamon and baked plum.",Virginie Boone,@vboone
5307,5308,88,Château de Lancyre 2013 Domaine de Lancyre Val de Monteferrand Roussanne (Saint Guilhem le Désert),"Ripe scents of pineapple, peach, lychee and melon are laced with hints of honey and orange oil. The palate is lush and mouthfilling, with rich stone- and tropical-fruit flavors that transition into a subtle spice note on the close. Drink now.",Lauren Buzzeo,@laurbuzz
5308,5309,94,Gary Farrell 2014 Fort Ross Vineyard Pinot Noir (Fort Ross-Seaview),"A shy nose demands further time in the glass to open this medium-bodied and truly compelling offering from this far-flung coastal site. A depth of black cherry, cranberry and black tea awaits, marked by tart acidity and silky-smooth waves of flavor and body.",Virginie Boone,@vboone
5309,5310,94,Nickel & Nickel 2013 State Ranch Cabernet Sauvignon (Yountville),"From one of the cooler sites sourced by the producer, this wine is remarkably rich and foreboding, sultry in chalky tannin and lingering blueberry and blackberry notes. Deeply satisfying and complex, it's structured and firm, with a sizable presence of toasty oak and a jolt of dark-roast coffee at the end.",Virginie Boone,@vboone
5310,5311,94,Alta Vista 2013 Single Vineyard Serenade Malbec (Mendoza),"This pitch-black Malbec opens with aromas of raisin, blackberry, cassis and vanilla. The palate exhibits a tight muscular grip, while flavors of mocha, chocolate, prune and cassis finish with complex hints of leather and salt. Drink this massive offering from 2018–2026.",Michael Schachner,@wineschach
5311,5312,94,Tapiz 2012 Las Notas de Jean Claude Merlot (Mendoza),"One of Argentina's few high-end Merlots, this opens with maple, toasty oak and deep berry aromas. With 9% Petit Verdot and Cabernets Sauvignon and Franc mixed in, this feels juicy, ripped and eminently healthy. Flavors of coffee, blackberry and cherry are deep and pure, while this avoids being overweight by tipping the scales at 13.9% abv. Drink through 2022.",Michael Schachner,@wineschach
5312,5313,94,Dr. Loosen 2014 Wehlener Sonnenuhr Auslese Riesling (Mosel),"A crush of mineral notes on the nose lend earthy dimension to this buoyantly ripe, fruity auslese. Layers of sweet mango, pineapple and guava abound on the palate, off set by a spine tingling spray of lime. It's decadent yet balanced, with a long, irresistibly clingy finish. Ready to drink now but it will shine for decades to come.",Anna Lee C. Iijima,
5313,5314,94,Melville 2014 Estate Pinot Noir (Sta. Rita Hills),"Light raspberry-sorbet notes meet with fresh fennel fronds, pepper and cinnamon on the nose of this bottling from Chad Melville and family. It's tight and tart on the palate, with dried cranberry, pine needle and eucalyptus flavors that juxtapose with the more fruit-driven nose.",Matt Kettmann,@mattkettmann
5314,5315,94,Robert Oatley 2011 The Pennant Hand Selected Limited Release Chardonnay (Margaret River),"Nearing maturity, this is a full-bodied, rich Chardonnay despite weighing in at only 12.5% abv. Scents of custard-meringue pie become more pungent and savory with air, adding hints of roasted mushrooms, smoke and maybe even some bacon fat. The flavors are savory yet the fruit remains, culminating in a long, ripe-citrus finish.",Joe Czerwinski,@JoeCz
5315,5316,94,Scar of the Sea 2014 Bien Nacido Vineyard Block Q Old Vine Pinot Noir (Santa Maria Valley),"There's a very appealing sense of hickory smoke to this wine, which comes from a block planted in 1973 on this historic vineyard. Red cherry, mulberry, sweet sage and cola also play into the nose. Rich sandalwood flavors show on the palate, as does cedar, thyme, smoke and tart berry elements.",Matt Kettmann,@mattkettmann
5316,5317,94,Naggiar 2014 Estate Petite Sirah (Sierra Foothills),"Naggiar makes at least 15 wines from its estate vineyard, and really hit a home run with this classic that should have a long life ahead of it. The color is dark and intense right to the rim, while aromas blend a subtle spiciness with bold and complex fruit notes. Flavors convey concentrated dark chocolate, black cherry and espresso. It's enjoyable now with big proteins, but will be best after 2020.",Jim Gordon,@gordone_cellars
5317,5318,94,Karl Schaefer 2014 Unsteiner Herrenberg GG Dry Riesling (Pfalz),"A pleasantly savory touch of earth and nut on the nose lends complexity to this lusciously citrusy dry wine. Fresh white grapefruit, lemon and lime flavors are penetrating on the palate, glazed by a luminous sheen of crushed minerals and cutting acidity. Light bodied yet rippling in texture, it's a deeply satisfying Riesling to enjoy now through at least 2030.",Anna Lee C. Iijima,
5318,5319,94,Franz Keller 2014 Franz Anton Schwarzer Adler Pinot Noir (Baden),"Robust in body yet squarely structured, the Franz Anton shows more ripeness and concentration than the producer's standard-label bottling. Fleshy black cherry and berry flavors are ripe, but are offset by crisp acidity and a shroud of smoke and toast that accents without overwhelming. It's bold and penetrating, with a long finish marked by fine, persistent tannins. Delicious already, but bold enough to improve through at least 2030.",Anna Lee C. Iijima,
5319,5320,94,Jarvis 2014 Estate Grown Cave Fermented Chardonnay (Napa Valley),"From estate grapes aged nine months in 100% new French oak, this features toasted wood that speaks in hushed undertones beneath a wealth of tangy stone fruit, baked pear and pineapple. Enjoyable now, it has a voluptuous richness on the midpalate that meets more nuanced acidity as it washes down.",Virginie Boone,@vboone
5320,5321,94,Jean-Michel Dupré 2015 1935 Vieilles Vignes  (Morgon),"Planted in 1935, this single vineyard wine is rich and structured. At this stage, it is dominated by firm tannins as much as by the perfumed juicy black fruits. As the wine softens with age, this generous fruitiness will comet through to give a deliciously ripe wine. Drink from 2019.",Roger Voss,@vossroger
5321,5322,94,K Vintners 2013 Morrison Lane Syrah (Walla Walla Valley (WA)),"Kirsch, wet stone, lavender and dried herb aromas are followed by ripe jazzy generous dark-fruit flavors. Fine-grained tannins provide support, with a supple mouthfeel piquing the interest.",Sean P. Sullivan,@wawinereport
5322,5323,94,K Vintners 2013 The Deal Sundance Syrah (Walla Walla Valley (WA)),"Kirsch, brown stem, herb and olive aromas give way to a powerful mouthful of black fruit speckled with savory accents. The finish lingers.",Sean P. Sullivan,@wawinereport
5323,5324,94,Betz Family 2014 La Côte Patriarche Syrah (Yakima Valley),"Hailing from the state's oldest Syrah vineyard, this wine displays aromas of pure blue fruit, assorted herbs and whiffs of smoked meat. The palate is dense and seamless, with fine-grained tannins providing support. Its best days are far in front of it. Best from 2022–2030.",Sean P. Sullivan,@wawinereport
5324,5325,94,Betz Family 2014 La Côte Rousse Syrah (Red Mountain),"This wine is a blend of fruit from Ranch at the End of the Road and Ciel du Cheval vineyards. Brooding aromas of dark raspberries, black plum, spice and mineral are followed by ripe generous full-bodied fruit flavors that display a lot of hedonism while retaining a spot-on sense of balance. It's sensational.",Sean P. Sullivan,@wawinereport
5325,5326,94,Domaine Serene 2014 Côte Sud Vineyard Chardonnay (Dundee Hills),"This Dijon clone fruit, barrel fermented and aged on the lees, delivers a wine of exceptional concentration and intensity. Deeply fruity, with a lush mix of apple, pear and peach, it also brings flashy barrel flavors and impressive length. The persistent, tightly wound finish bodes well for further aging. Drink now through 2028.",Paul Gregutt,@paulgwine 
5326,5327,94,Davies 2013 Winfield Vineyard Cabernet Sauvignon (Calistoga),"Winfield is up-valley in Calistoga, on the lower slopes of Mount St. Helena, where volcanic soils rule. Rich and grippy, this beautiful wine is savory and elegantly bold, a mix of black pepper, leather saddle and blackberry compote, its concentration complemented by streaks of acidity and lurking freshness. It should do well in the cellar for the patient who can painfully wait.",Virginie Boone,@vboone
5327,5328,94,Reichsgraf von Kesselstatt 2015 Braunberger Juffer-Sonnenuhr Spätlese Grosse Lage Riesling (Mosel),"Tart lime and gooseberry aromas turn plush and plump on the palate of this lip-smackingly ripe spätlese. Apricot and yellow peach flavors penetrate deeply, catapulted by shards of lemon-lime acidity. It's breathlessly light in body, yet lingers long, leaving airy kisses of blossom and fresh herb in its wake. Irresistible already but should improve through 2025.",Anna Lee C. Iijima,
5328,5329,94,Johannishof 2015 Johannisberger Klaus Spätlese Riesling (Rheingau),"Light as a feather yet bold in fruit, this sprightly spätlese packs a punch of sweet, ripe apricot, peach and even raspberry flavors. Spine tingling grapefruit acidity lends vitality, guiding a breathlessly perfumed, floral finish. It's a thrilling, irresistible wine.",Anna Lee C. Iijima,
5329,5330,94,Walt 2014 Bob's Ranch Chardonnay (Russian River Valley),"Bob's is the producer's estate vineyard, acquired in 2014, a foggy site near the Petaluma Gap. Here, it allows for fleshy flavors of pear, brioche and honey, offering ripeness within a classic structure of minerality. Intense in tension and body, it has a dark color and a lingering tease of honeycomb.",Virginie Boone,@vboone
5330,5331,94,Walt 2014 Gap's Crown Pinot Noir (Sonoma Coast),"This is a bold, brawny red from a famous site, velvety in texture and all power and concentration. Forest floor and a touch of smoke complement juicy dark cherry, caramelized oak and licorice, while bright acidity supports the layers of flavor and strong tannins.",Virginie Boone,@vboone
5331,5332,94,EnRoute 2014 Brumaire Chardonnay (Russian River Valley),"From a selection of vineyards influenced heavily by fog, this wine shines in fleshy, expansive stone fruit and brightly integrated flavors of apple and pear. With a focused, velvety and juicy texture, it retains plenty of balance against a backdrop of elegant richness.",Virginie Boone,@vboone
5332,5333,94,Galerie 2015 Equitem Sauvignon Blanc (Knights Valley),"A mineral-driven white, this is waxy and lemony on the palate. Light bodied, crisp and vibrant, it doesn't hold back on complexity, weaving a lengthy story of perfumed near-perfection.",Virginie Boone,@vboone
5333,5334,94,Bethel Heights 2014 West Block Pinot Noir (Eola-Amity Hills),"The top drop from Bethel Heights in this vintage, this is a dark, dense evocation of Pinot Noir at its most authoritative and engaging. It's a muscular mix of mulberry, blueberry and blue plum, with a dash of sassafras for good measure. The length and sense of throttled power suggest that this is a fine cellar candidate. Drink now through 2028.",Paul Gregutt,@paulgwine 
5334,5335,94,Brecon Estate 2014 Reserve Cabernet Sauvignon (Paso Robles),"Dark blackberry, blueberry and blackcurrant fruits make for a ripe but extremely enticing nose on this bottling, lifted by aromas of vanilla, cola, clove and anise. The palate is delicious and rich with black cherry, but a zesty, bright acidity and chalky tannins contribute depth and length, with a touch of dill.",Matt Kettmann,@mattkettmann
5335,5336,94,Charles Smith 2013 Broncho Stoneridge Vineyard Malbec (Washington),"The aromas are pretty and pure, with perfumed notes of plum and blackberry speckled with spice and herb. The flavors are seamless and full, showing a real sense of freshness and vibrancy capped off by a tart finish that hangs together impressively.",Sean P. Sullivan,@wawinereport
5336,5337,87,Nicholson Ranch 2012 Estate Pinot Noir (Sonoma Valley),"Minty strawberry hulls come to mind first in this wine, accented as it goes by a taste of grenadine and earth. Medium bodied and smooth in texture, it offers a big finish of black cherry and more of those strawberries.",Virginie Boone,@vboone
5337,5338,87,Ravenswood 2013 Vintners Blend Petite Sirah (California),"Overflowing with blackberry and black pepper flavors, this affordable, rich and layered wine is very dark in color, saturated with firm tannins and full in body. Serve with some hefty protein to make a good match.",Jim Gordon,@gordone_cellars
5338,5339,87,Siegel 2013 Crucero Collection Cabernet Sauvignon (Colchagua Valley),"Black cherry and cassis aromas include notes of tree bark, rooty spices and animal hide. This feels juicy and alert, while toasty black-fruit flavors are mild. Blackened, peppery notes are unchecked on the energetic finish.",Michael Schachner,@wineschach
5339,5340,87,Soléna 2010 Klipsun Vineyard Cabernet Sauvignon (Red Mountain),"Coming from the cool 2010 vintage, this wine seems a bit overwrought, with aromas of stewed herbs and cherry. The flavors are full bodied, backed by chewy tannins.",Sean P. Sullivan,@wawinereport
5340,5341,87,Stags' Leap Winery 2012 The Investor Red (Napa Valley),"A unique blend of equal parts Petite Sirah and Merlot, with a smaller percentage of Cabernet Sauvignon, this is a sizably robust and dry, full-bodied wine. Puckering tannins should settle down in time, allowing the blackberry and black currant that's in there to shine through.",Virginie Boone,@vboone
5341,5342,87,Stefania Mezzetti 2012 Selvans Merlot (Cortona),"This concentrated red opens with aromas of mature black fruit, toasted oak and a whiff of Mediterranean herbs. The firm palate offers dried black cherry, red currant, powdered sage and espresso alongside bracing, tightly packed tannins that leave an astringent finish.",Kerin O’Keefe,@kerinokeefe
5342,5343,87,Tertulia 2010 Redd Brand BDX Red (Columbia Valley (WA)),"It's the Carmenère (14%) that pops first on this Cabernet Sauvignon and Cabernet Franc-dominant blend. Aromas of braised jalapeno pepper are followed by coffee, vanilla and dark fruit. The coffee and cherry flavors are light, with some grit to the tannins and a warm finish.",Sean P. Sullivan,@wawinereport
5343,5344,87,Three Rivers 2014 Estate Cabernet Franc Cabernet Franc (Walla Walla Valley (WA)),"A pretty pale-pink color, this wine has aromas of cherry bubble gum, strawberry and herb. The palate has a full, creamy feel with flavors that linger. It's a broader style than often seen on rosés—more of a red wine feel—but it's hard to deny its appeal.",Sean P. Sullivan,@wawinereport
5344,5345,87,Wise Villa 2012 Estate Cabernet Sauvignon (Sierra Foothills),"Bright, crisp red cherry and blackberry flavors drive a refreshing, fruity personality. Touches of nutmeg and vanilla show through, but this is not an oaky wine by any means. It will please a crowd and pair well with a wide variety of foods.",Jim Gordon,@gordone_cellars
5345,5346,87,Union de Vignerons de l'Île de Beauté 2014 Domaine Petroni Rosé (Corse),"This attractive and fruity wine blends Niellucciu with Sciacerellu, both local Corsican grapes. The freshness is right there, crisp and hinting at red currant flavors and bright acidity. Drink now.",Roger Voss,@vossroger
5346,5347,87,Vinchio-Vaglio Serra 2012 I Tre Vescovi  (Barbera d'Asti Superiore),"This offers aromas of mature plum, berry, toasted oak and coffee. The straightforward palate offers roasted coffee beans, espresso, dried black cherry and licorice alongside fine-grained tannins. The fruit is starting to dry up, so drink soon.",Kerin O’Keefe,@kerinokeefe
5347,5348,87,Beaulieu Vineyard 2013 Maestro Collection Ranch No. 5 Pinot Noir (Carneros-Napa Valley),"A small-production wine for the producer, this heavy-hitting release is robust and meaty, built with plenty of structure and a full body. Pomegranate and strawberry fill out the fruit components, while a touch of rose petal dances in the background, the wine taking time ultimately to unwind.",Virginie Boone,@vboone
5348,5349,87,Bocopa 2014 Alcanta Monastrell (Alicante),"Plum and raspberry aromas are clean, fruity and simple. The palate follows suit with lively acidity and punchy tannins in support of plum, cherry and moderate spice flavors. A light, zesty finish preserves this Monastrell's easy drinkability.",Michael Schachner,@wineschach
5349,5350,87,Bocopa 2014 Señor Sierra de Alicante Tempranillo (Alicante),"Plum and berry aromas are clean and fruity, with no funk or oak to wade through. A juicy palate deals slightly medicinal plum and red-berry flavors in front of a solid yet slightly hot and spicy finish.",Michael Schachner,@wineschach
5350,5351,87,Bohigas NV Gran Reserva Brut Nature Sparkling (Cava),"Bread, vanilla cookie and pear scents drive the bouquet on this nature Cava. A citrusy, medium-bodied palate shows flavors of cider, brined apple and mixed citrus fruits, while the finish is salty, with notes of orange and grapefruit.",Michael Schachner,@wineschach
5351,5352,87,Cave de Saumur NV De Chanceny Brut Sparkling (Crémant de Loire),"Deliciously fruity and fresh, this is a great blend of Chardonnay, Chenin Blanc and Cabernet Franc. It has bright apple flavors, crisp acidity and a nutty background. It's light and clean at the end.",Roger Voss,@vossroger
5352,5353,87,Chandon NV Reserve Brut Sparkling (Napa County-Sonoma County),"Dark yellow-gold in color, this Pinot Noir-based sparkler also has 28% Pinot Meunier and 24% Chardonnay, combining grapes from two far-reaching appellations. Slightly dull on the nose, it has a medium build of apple crisp and brioche along with a tangy taste of baked strawberry.",Virginie Boone,@vboone
5353,5354,87,Château Les Bertrands 2014 Cuvée Prestige  (Blaye Côtes de Bordeaux),"This 100% Sauvignon Blanc with six months in French oak is fresh with attractive fruitiness and light acidity. It has spice, a touch of toast and full yellow fruits. The aftertaste brings in a more citrus character that lets the wine finish with freshness. Drink now. Laurent Dubois is the family's ninth generation at this northern Gironde property.",Roger Voss,@vossroger
5354,5355,87,Clavesana 2011 Il Clou  (Dogliani Superiore),"Underbrush, pressed flowers and red berry aromas lead the nose. The easy-drinking palate offers ripe raspberry, black cherry, almond and a note of anise alongside polished tannins. This is already extremely accessible so enjoy now.",Kerin O’Keefe,@kerinokeefe
5355,5356,86,Ribafreixo 2016 Pato Frio Antão Vaz (Alentejo),"This lively, fruity wine has soft apple flavors and refreshing acidity. A zesty backdrop to the fruitiness gives a light texture. The wine, which comes from one of the cooler regions of Alentejo, is ready to drink.",Roger Voss,@vossroger
5356,5357,86,Ruca Malen 2015 Yauquen Bonarda (Mendoza),"Earthy plum and red-berry aromas are suggestive of tomato. This kicks around the palate with lively acidity and hard tannins. Roasted, savory plum and oak flavors taste spicy and peppery, with fruit pushed to the fringes.",Michael Schachner,@wineschach
5357,5358,86,Saget la Perrière 2015 Domaine de la Perrière  (Sancerre),"Although this producer is based in Pouilly-sur-Loire, across the Loire, it also has vines in Sancerre. This attractive crisp wine has herbal hints and bright apple and citrus fruit. Drink now.",Roger Voss,@vossroger
5358,5359,86,San Silvestro 2016 Primaio  (Dolcetto d'Alba),"This simple red leads with baking spice, underbrush and red-skinned berry aromas. The palate delivers orange peel, black cherry and clove flavors, with round tannins. Drink soon.",Kerin O’Keefe,@kerinokeefe
5359,5360,86,Becker 2012 Reserve Cabernet Sauvignon (Texas),"Aromas and flavors of blackberry, pomegranate, leather and cedar are warmed by baking spice and bitter chocolate on the palate. The tannins are firm and lend plenty of structure. Cedar and tobacco prevail on the finish, with a touch of warmth.",Fiona Adams,@bkfiona
5360,5361,86,Messias 2014 Selection Red (Douro),"The tannins and the fruit are well balanced in this open, fruity wine. A blend from several vineyards, it has a dusty texture, ripe red fruits and acidity. The wine is ready to drink.",Roger Voss,@vossroger
5361,5362,86,Nicolas Millet 2016 Champ Secret Rosé (Sancerre),There is a caramel edge to this ripe wine with its strawberry fruits. It has spice and flavors of vanilla along with the crisp aftertaste of acidity. Drink this Pinot Noir-based wine now.,Roger Voss,@vossroger
5362,5363,86,Quinta da Lapa 2014 Reserva Syrah (Tejo),"With perfumed black-currant and damson fruitiness, this is a juicy wine. That freshness contrasts with a firm texture, chocolate and smoky flavors and a tannic aftertaste. Drink from 2018.",Roger Voss,@vossroger
5363,5364,86,Quinta da Lapa 2016 Selection Branco White (Tejo),"This soft and smooth wine offers a creamy texture over youthful acidity. The blend contains Trincadeira das Pratas as well as Fernão Pires and Arinto, giving a crisp, tangy character that will mellow into a softer character in a few months. Drink from 2018.",Roger Voss,@vossroger
5364,5365,86,Santos & Seixo 2016 Santos da Casa Branco White (Douro),"This unoaked, fruity wine is crisp, full of green fruits and lively acidity. It is light and bright, with a touch of Douro minerality to lift the texture. Drink now.",Roger Voss,@vossroger
5365,5366,86,Sokol Blosser 2016 Estate Cuvée Rosé of Pinot Noir (Dundee Hills),"Sharp pine needle and tart berry scents dominate the nose. Low alcohol and pungent flavors emphasize the acidity, leaving a puckery mouthfeel with little impression of fruit. Best with mild cheeses and salted nuts.",Paul Gregutt,@paulgwine 
5366,5367,86,Tin Barn 2014 Pickberry Vineyard Reserve Merlot (Sonoma Valley),"Thick and richly concentrated, this reserve-tier wine shows a wealth of tart tannins and leather on the palate, baked in black pepper and a strong element of cigar box flavor. Big boned and full flavored, it packs a powerful punch.",Virginie Boone,@vboone
5367,5368,86,Trentadue 2016 Estate Rosato di Sangiovese (Alexander Valley),"Dark reddish-pink in color, this wine exudes the essence of a strawberry patch both in flavor and aroma, adding to the fruitiness with complementary flavors of peach. Expansive and duly ripe, it incorporates richer layers of vanilla that add a touch of sweetness to the finish.",Virginie Boone,@vboone
