wid,price,variety,designation,region,province,country,winery,encoded,color
5053,30.0,Garganega,Monte Carbonare,Soave Classico,Veneto,Italy,Suavia,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5054,40.0,Syrah,Neblus,nan,Casablanca Valley,Chile,Viña Casablanca,"0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0", red
5055,22.0,Portuguese Red,Manoella,nan,Douro,Portugal,Wine & Soul,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0", red
5056,33.0,Turbiana,Brut Metodo Classico,Lugana,Lombardy,Italy,Zenato,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0", white
5057,24.0,Melon,Les Perrières Monopole,Muscadet,Loire Valley,France,Gadais Père et Fils,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5058,18.0,Melon,Vieilles Vignes Sur Lie,Muscadet Sèvre et Maine,Loire Valley,France,Gadais Père et Fils,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5059,40.0,Pinot Noir,Bradshaw Vineyard,"Willamette Valley, Willamette Valley",Oregon,US,J. Scott Cellars,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5060,50.0,Syrah,Ampelos,"Sta. Rita Hills, Central Coast",California,US,Jaffurs,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5061,75.0,Cabernet Sauvignon,Estate,"Alexander Valley, Sonoma",California,US,Lancaster,"1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0", red
5062,115.0,Bordeaux-style Red Blend,Nicole's Proprietary,"Alexander Valley, Sonoma",California,US,Lancaster,"1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5063,30.0,Portuguese Red,VZ Van Zellers,nan,Douro,Portugal,Lemos & Van Zeller,"0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
5064,16.0,Riesling,Dr. L Sparkling,nan,Germany,Germany,Loosen Bros.,"0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0", white
5065,43.0,Syrah,EQ,nan,San Antonio,Chile,Matetic,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5066,34.0,Riesling,Herrenberg Kabinett,nan,Mosel,Germany,Maximin Grünhäuser,"0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", white
5067,70.0,Syrah,Vista Del Monte Vineyard Reserve,"Temecula Valley, South Coast",California,US,Monte De Oro,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5068,13.0,Syrah,The Heritage Collection,"Lodi, Central Valley",California,US,Peirano,"1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1", red
5069,15.0,Portuguese Red,Orquestra Special Selection,nan,Alentejano,Portugal,Perescuma,"0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0", red
5070,31.0,Garganega,La Rocca,Soave Classico,Veneto,Italy,Pieropan,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5071,12.0,Touriga Nacional,Quinta do Alqueve,nan,Tejo,Portugal,Pinhal da Torre,"1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", red
5072,60.0,Pinot Noir,Platt Vineyard,"Sonoma Coast, Sonoma",California,US,Ramey,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5073,26.0,Cabernet Franc,Estate,"Sierra Foothills, Sierra Foothills",California,US,Naggiar,"1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0", red
5074,30.0,Sangiovese,Tribulo,Montecucco,Tuscany,Italy,Poggio Stenti,"0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0", red
5075,30.0,Red Blend,Riserva,Morellino di Scansano,Tuscany,Italy,Suberli,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0", red
5076,15.0,Rosé,Dry,"Finger Lakes, Finger Lakes",New York,US,Dr. Konstantin Frank,"0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0", pink
5077,20.0,Cabernet Franc,Bordo,"North Fork of Long Island, Long Island",New York,US,Anthony Nappa,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
5078,22.0,G-S-M,Geste,"Paso Robles, Central Coast",California,US,Bianchi,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5079,20.0,Red Blend,Borgonero,Toscana,Tuscany,Italy,Borgo Scopeto,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", red
5080,60.0,Red Blend,Magari,Bolgheri,Tuscany,Italy,Ca' Marcanda,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0", red
5081,50.0,Cabernet Sauvignon,Basilica del Cortaccio,Toscana,Tuscany,Italy,Cafaggio,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5082,30.0,Red Blend,Cà del Pazzo,Toscana,Tuscany,Italy,Caparzo,"1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0", red
5083,65.0,Red Blend,Sillano,Toscana,Tuscany,Italy,Carpineto,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5084,35.0,Cabernet Sauvignon,Farnito,Toscana,Tuscany,Italy,Carpineto,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0", red
5085,29.0,Bordeaux-style Red Blend,Cabernet Sauvignon 67% Merlot 19% Malbec 14%,nan,Idaho,US,Cinder,"0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0", red
5086,14.0,Red Blend,Organically Grown Grapes Cabernet Sauvignon-Carmenere-Syrah,nan,Chile,Chile,Cono Sur,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0", red
5087,26.0,Red Blend,Famiglia Zingarelli Riserva,Chianti Classico,Tuscany,Italy,Rocca delle Macìe,"1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0", red
5088,65.0,Cabernet Franc,Estate,"Rutherford, Napa",California,US,St. Supéry,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5089,,Red Blend,Tempo Riserva,Morellino di Scansano,Tuscany,Italy,Terre di Talamo,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5090,24.0,Grüner Veltliner,Kremser Wachtberg Reserve,nan,Kremstal,Austria,Winzer Krems,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5091,17.0,Gamay,Domaine des Billards,Saint-Amour,Beaujolais,France,Jean Loron,"1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", red
5092,18.0,Rosé,Alìe,Toscana,Tuscany,Italy,Marchesi de' Frescobaldi,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1", pink
5093,146.0,White Blend,Gorgona,Costa Toscana,Tuscany,Italy,Marchesi de' Frescobaldi,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5094,36.0,St. Laurent,Haidegrund,nan,Niederösterreich,Austria,Schloss Gobelsburg,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
5095,40.0,Chardonnay,Estate,"Carneros, Napa-Sonoma",California,US,Schug,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5096,14.0,Passerina,Evoè,Marche,Central Italy,Italy,Ciù Ciù,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1", white
5097,35.0,Meritage,Reserve,"Central Coast, Central Coast",California,US,Clos La Chance,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5098,35.0,Red Blend,Reserve,"Central Coast, Central Coast",California,US,Clos La Chance,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5099,12.0,Verdicchio,Lyricus,Verdicchio dei Castelli di Jesi Classico,Central Italy,Italy,Colonnara,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5100,16.0,Pinot Blanc,Cuvée René Dopff,Alsace,Alsace,France,Dopff & Irion,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5101,21.0,Sparkling Blend,Brut Rosé,Crémant d'Alsace,Alsace,France,Klipfel,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
5102,27.0,Pinot Noir,Single Vineyard Cahuil Vineyard,nan,Leyda Valley,Chile,Leyda,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5103,14.0,Sauvignon Blanc,Enco Reserve,nan,Leyda Valley,Chile,Anakena,"0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0", white
5104,18.0,Red Blend,Elements,"Sonoma County, Sonoma",California,US,Artesa,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5105,25.0,Verdicchio,Riserva,Verdicchio di Matelica,Central Italy,Italy,Belisario,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5106,20.0,Gewürztraminer,Tradition,Alsace,Alsace,France,Bott Frères,"0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5107,22.0,Sparkling Blend,Rosé Brut,Crémant d'Alsace,Alsace,France,Bott Frères,"0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
5108,15.0,Carmenère,Cuvée,nan,Colchagua Valley,Chile,Casa Silva,"0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0", red
5109,20.0,Pecorino,Licoste,Offida Pecorino,Central Italy,Italy,Domodimonti,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5110,24.0,Gewürztraminer,Cuvée René Dopff,Alsace,Alsace,France,Dopff & Irion,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5111,15.0,Red Blend,Crush,"North Coast, North Coast",California,US,Dreaming Tree,"0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5112,24.0,Pinot Noir,Rosé,"Fort Ross-Seaview, Sonoma",California,US,Fort Ross,"0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
5113,14.0,Verdejo,Damana,Rueda,Northern Spain,Spain,Bodegas y Viñedos Tábula,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white
5114,8.0,Garnacha,Monte Oton,Campo de Borja,Northern Spain,Spain,Borsao,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5115,60.0,Sangiovese Grosso,Da Vinci,Brunello di Montalcino,Tuscany,Italy,Cantine Leonardo,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5116,28.0,Rhône-style Red Blend,C'est Si Bon-Naggiar Vineyard,"Sierra Foothills, Sierra Foothills",California,US,Elyse,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
5117,61.0,Sangiovese,Grato Grati Vecchia Annata,Rosso di Toscana,Tuscany,Italy,Grati,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5118,25.0,Chardonnay,Estate Vineyard,Anderson Valley,California,US,Handley,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5119,30.0,Zinfandel,Ponzo Vineyard,"Russian River Valley, Sonoma",California,US,Hawley,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
5120,36.0,Red Blend,Martin Cendoya,Rioja,Northern Spain,Spain,Heredad Ugarte,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0", red
5121,29.0,Sparkling Blend,L'Homme Qui Ris,"Santa Lucia Highlands, Central Coast",California,US,McIntyre Vineyards,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
5122,38.0,Zinfandel,Mustang Springs,"Paso Robles, Central Coast",California,US,Peachy Canyon,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5123,20.0,Chardonnay,Flood Family Vineyards,"Santa Barbara County, Central Coast",California,US,Rancho Sisquoc,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5124,50.0,Petit Verdot,Ghielmetti Vineyard,"Livermore Valley, Central Coast",California,US,Steven Kent,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5125,20.0,Cabernet Sauvignon,Brunos,"Columbia Valley (WA), Columbia Valley",Washington,US,Va Piano,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5126,25.0,Chardonnay,L'Erta,Toscana,Tuscany,Italy,Vigliano,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
5127,16.0,Garnacha,Menguante,Cariñena,Northern Spain,Spain,Viñedos y Bodegas Pablo,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
5128,24.0,Tempranillo Blend,Duet,"Lodi, Central Valley",California,US,Kidder Family Wines,"0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0", red or white
5129,55.0,Bordeaux-style Red Blend,Cuvée Kristin,"Sonoma Valley, Sonoma",California,US,Korbin Kameron,"0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5130,14.0,Red Blend,Spanish Red Blend,Calatayud,Northern Spain,Spain,Las Rocas de San Alejandro,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5131,22.0,Red Blend,The Explorer,"Horse Heaven Hills, Columbia Valley",Washington,US,Canoe Ridge,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5132,,Sangiovese,Cinghiale Wahluke Slope & Rosebud Vineyards,"Wahluke Slope, Columbia Valley",Washington,US,Casa Smith,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5133,55.0,Red Blend,Quest,Costers del Segre,Catalonia,Spain,Castell d'Encus,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0", red
5134,17.0,Carmenère,Grande Réserve,nan,Cachapoal Valley,Chile,Château Los Boldos,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0", red
5135,38.0,Nebbiolo,Vie Erte,Barbaresco,Piedmont,Italy,Cigliuti,"1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
5136,22.0,Chardonnay,Marques de Casa Concha,nan,Limarí Valley,Chile,Concha y Toro,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5137,30.0,Tempranillo,Reserva,Ribera del Duero,Northern Spain,Spain,Conde de Siruela,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5138,77.0,Pinot Noir,Clos de l'Ecu Premier Cru,Beaune,Burgundy,France,Domaine Faiveley,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5139,62.0,Chardonnay,Sous Frétille Premier Cru,Pernand-Vergelesses,Burgundy,France,Domaine Françoise André,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5140,40.0,Merlot,Estate Riverbend Vineyard,"Wahluke Slope, Columbia Valley",Washington,US,Fielding Hills,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5141,17.0,Sparkling Blend,Eunoia Vintage Reserva Brut Nature,Cava,Catalonia,Spain,Montserrat Canals Torres,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
5142,25.0,Rosé,Pale Pink,"Santa Barbara County, Central Coast",California,US,Municipal Winemakers,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", pink
5143,24.0,Riesling,Solstice Vineyard,"Yakima Valley, Columbia Valley",Washington,US,Pacific Rim,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5144,11.0,Riesling,Sweet,"Columbia Valley (WA), Columbia Valley",Washington,US,Pacific Rim,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5145,80.0,White Blend,Blanco,Rioja,Northern Spain,Spain,Remelluri,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5146,18.0,Gewürztraminer,Estate Bottled,"Finger Lakes, Finger Lakes",New York,US,Sheldrake Point,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5147,60.0,Cabernet Sauvignon,Artemis,"Napa Valley, Napa",California,US,Stag's Leap Wine Cellars,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", red
5148,36.0,Bordeaux-style Red Blend,Big Eddie,"Columbia Valley (WA), Columbia Valley",Washington,US,Stottle,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5149,35.0,Barbera,La Luna e i Falò,nan,Piedmont,Italy,Vite Colte,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5150,47.0,Pinot Noir,Vieilles Vignes,Savigny-lès-Beaune,Burgundy,France,Jean-Luc and Paul Aegerter,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0", red
5151,44.0,Syrah,CJ's Barrel,nan,Casablanca Valley,Chile,Kingston Family,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5152,140.0,Pinot Noir,Collection Tramier,Corton,Burgundy,France,L. Tramier & Fils,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5153,11.0,Carmenère,Reserva,nan,Maule Valley,Chile,Viña Casas Patronales,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
5154,17.0,Chardonnay,Unwooded,Western Australia,Western Australia,Australia,West Cape Howe,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5155,32.0,Riesling,Sekt,nan,Österreichischer Sekt,Austria,Steininger,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5156,30.0,Sangiovese,Alegria Vineyards,"Russian River Valley, Sonoma",California,US,Acorn,"0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
5157,32.0,Bordeaux-style Red Blend,Cuvée Evelyna,"Alexander Valley, Sonoma",California,US,La Storia by Trentadue,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5158,,Grüner Veltliner,Veltlinsky,nan,Niederösterreich,Austria,Graf Hardegg,"0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0", white
5159,14.0,Pinot Noir,Votre Santé,"California, California Other",California,US,Francis Ford Coppola,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5160,13.0,Cabernet Sauvignon,Reserve,nan,Rapel Valley,Chile,Casa Viva,"0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0", red
5161,12.0,Sauvignon Blanc,Reserva Estate Bottled,nan,Maule Valley,Chile,Chilensis,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5162,40.0,Pinot Noir,Diopside,"Sta. Rita Hills, Central Coast",California,US,Coghlan,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", red
5163,12.0,Cabernet Sauvignon,Casa Grand Selection,nan,Rapel Valley,Chile,Lapostolle,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0", red
5164,17.0,Pinot Noir,Coast Cool Climate,nan,Casablanca Valley,Chile,Lomas del Valle,"0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0", red
5165,12.0,Cabernet Sauvignon,Sepia Reserva,nan,Maipo Valley,Chile,Vistamar,"0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0", red
5166,24.0,Red Blend,Hacienda Araucano Clos de Lolol,nan,Lolol Valley,Chile,François Lurton,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0", red
5167,22.0,Bordeaux-style Red Blend,Tradition,Blaye Côtes de Bordeaux,Bordeaux,France,Château Sainte-Luce Bellevue,"0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0", red
5168,31.0,Barbera,Tracy Hills,"Livermore Valley, Central Coast",California,US,Dante Robere,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5169,12.0,Red Blend,Almodí Petit,Terra Alta,Catalonia,Spain,Altavins,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5170,20.0,Rosé,Garnacha by Artazu,Navarra,Northern Spain,Spain,Artadi,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", pink
5171,10.0,Rosé,Garnacha,Cariñena,Northern Spain,Spain,Bodegas Paniza,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", pink
5172,47.0,Sparkling Blend,Cle Brut Metodo Classico,Trento,Northeastern Italy,Italy,Albino Armani,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
5173,14.0,Bordeaux-style Red Blend,Premium,Cadillac Côtes de Bordeaux,Bordeaux,France,Maison Hebrard,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5174,24.0,Viognier,"Estate Grown, Produced and Bottled","Sierra Foothills, Sierra Foothills",California,US,Naggiar,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0", white
5175,43.0,Sparkling Blend,Talento Brut Rosé,Vino Spumante,Italy Other,Italy,Peri Bigogno,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
5176,45.0,Chardonnay,Estate,"Napa Valley, Napa",California,US,Kuleto Estate,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5177,25.0,Sangiovese,Sanguinetti Vineyard,"Lodi, Central Valley",California,US,Martin Lane Winery,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0", red
5178,20.0,Tempranillo,Hacienda de ArínzanoRosé,Pago de Arínzano,Northern Spain,Spain,Arínzano,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5179,13.0,Tempranillo-Cabernet Sauvignon,Agostón,Cariñena,Northern Spain,Spain,Bodegas Paniza,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0", red
5180,20.0,Red Blend,Somdinou,Terra Alta,Catalonia,Spain,Celler Cooperatiu de Gandesa,"0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0", red
5181,18.0,Bordeaux-style Red Blend,Cuvée Design,Bordeaux Supérieur,Bordeaux,France,Château la Mothe du Barry,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5182,15.0,Tempranillo,Finca Resalso,Ribera del Duero,Northern Spain,Spain,Emilio Moro,"1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0", red
5183,35.0,Bordeaux-style Red Blend,Walter Clore Private Reserve,"Columbia Valley (WA), Columbia Valley",Washington,US,Columbia Crest,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
5184,25.0,Chardonnay,Estate Grown,"Carneros, Napa-Sonoma",California,US,Cuvaison,"0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5185,34.0,Merlot,Klipsun Vineyard,"Red Mountain, Columbia Valley",Washington,US,Full Pull & Friends,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5186,75.0,Pinot Noir,Gap's Crown Vineyard Clone 667 Three Barrel Selection,"Sonoma Coast, Sonoma",California,US,Gary Farrell,"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0", red
5187,35.0,Chardonnay,Big Sissy,"Columbia Valley (WA), Columbia Valley",Washington,US,Gorman,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5188,65.0,Red Blend,Joie de Vivre,"Napa Valley, Napa",California,US,Jeff Gordon,"0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0", red
5189,19.0,Gewürztraminer,Tradition,Alsace,Alsace,France,Kuentz-Bas,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5190,35.0,Pinot Noir,Grand Detour,"Sonoma Coast, Sonoma",California,US,Landmark,"1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0", red
5191,30.0,Teroldego,NOS Riserva,Teroldego Rotaliano,Northeastern Italy,Italy,Mezzacorona,"1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0", red
5192,15.0,Furmint,Dry Száraz,nan,Tokaj,Hungary,Patricius,"0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1", white
5193,20.0,Cabernet Sauvignon,Tributo Single Vineyard,nan,Colchagua Valley,Chile,Caliterra,"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0", red
5194,16.0,Riesling,Cold Creek Vineyard,"Columbia Valley (WA), Columbia Valley",Washington,US,Chateau Ste. Michelle,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
5195,40.0,Riesling,Ice Wine White Bluffs Vineyards,"Columbia Valley (WA), Columbia Valley",Washington,US,Claar,"0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1", white
5196,12.0,Cabernet Sauvignon,Grand Estates,"Columbia Valley (WA), Columbia Valley",Washington,US,Columbia Crest,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5197,26.0,Chardonnay,Reserve Estate Grown,"Horse Heaven Hills, Columbia Valley",Washington,US,Columbia Crest,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0", white
5198,58.0,Red Blend,Flamboyant,nan,Dealu Mare,Romania,Davino,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
5199,38.0,Bordeaux-style Red Blend,Hendry Vineyard,"Napa Valley, Napa",California,US,Hendry,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0", red
5200,33.0,Syrah,Edición Limitada,nan,Cachapoal Valley,Chile,Lagar de Bezana,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0", red
5201,125.0,Cabernet Sauvignon,Generations,"Napa Valley, Napa",California,US,Raymond,"1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", red
